Metall,Abk.,Dichte kg/m³,Schmelzp. °C,Bemerkung/Verwendung
Aluminium,Al,2700,660,"Hellgrau-silbernes Leichtmetall, sehr dehnbar, gute Leitfähigkeit für Wärme und Elektrizität."
Antimon,Sb,6700,630,"Hell-silberglänzendes, sprödes Metall. Antimon findet Verwendung als Legiermetall, um die Härte und Gussfähigkeit anderer Metalle zu erhöhen."
Beryllium,Be,1800,1278,Dient in Legierungen mit Kupfer oder Nickel zur Herstellung von Uhrenfedern.
Blei,Pb,11300,327,"Sehr weich, an frischer Oberfläche blau glänzend, Verwendung für Batterien, Schutz gegen Röntgenstrahlen."
Bronze,-,8800,990,"Bronze/Rotguss ist eine Legierung aus Kupfer (mind. 60 %) mit Zinn und ggf. Zink. Je nach Verhältnis erhält man verschiedene Bronzesorten. Rotguss enthält neben Kupfer bis zu 11 % Zinn, bis zu 9 % Zink, bis zu 7% Blei und bis zu 2,5 % Nickel.Außerdem gibt es noch Aluminiumbronze, bei der bis zu 20 % Aluminium beigemischt werden."
Cadmium,Cd,8600,321,"Cadmium ist ein silberweiß glänzendes Metall, das sich an der Luft mit einer dünnen Oxidschicht überzieht. Es findet Verwendung als Legierzusatz, um den Schmelzpunkt der Legierung zu senken und die Dehnbarkeit zu erhöhen. Cadmium-Dämpfe sind giftig und dürfen nicht eingeatmet werden."
Chrom,Cr,7200,1890,"Verchromen dient als Rostschutz und Zierde von Metallen, meist Eisen."
Eisen,Fe,7900,1535,"Eisen ist das wichtigste Gebrauchsmaterial. Es wird zum Bau von Häusern, Schiffen, Autos, Maschinen, Werkzeugen usw. eingesetzt, oft in Legierungen als Stahl zusammen mit Chrom, Silizium, Nickel, Mangan, Kohlenstoff, Wolfram usw."
Gold,Au,19300,1063,"Weich, sehr dehnbar. Dünne Goldfolie lässt Licht grün durchscheinen. Verwendung als Schmuckmetall, für Anlagegoldbarren, in der Elektronik und in der Zahnmedizin. Goldkurs Goldankauf"
Iridium,Ir,22400,2443,Extrem hart und korrosionsfest. Wird mit Metallen wie Gold und Osmium als Legierungszusatz verwendet. Außerdem kommt es in Zündkerzen und im Elektronikbereich zum Einsatz.
